"ID","niscode","twtot","TOTAALBEV","DENSITEIT","diff","aandeel","originID.x","destID.x","oX","oY","stay","originID.y","move_to","destID.y","move_from","resident","inflow","outflow","resident255","inflow255","outflow255"
23,31004,5045,19337,1110.60824137135,-73.9,26.1,23,23,3.14563558975494,51.3019027095896,2981,23,3538,23,1727,0.361508610235266,0.209434877516372,0.429056512248363,92.1846956099927,53.4058937666748,109.409410623333
24,35029,2885,12473,295.784776439188,-76.9,23.1,24,24,3.05405409997957,51.2619095681552,1594,24,2638,24,1051,0.301722506151808,0.198939996214272,0.49933749763392,76.939239068711,50.7296990346394,127.33106189665
25,13036,1647,10799,223.170320079226,-84.7,15.3,25,25,5.08944449909625,51.26898786897,1054,25,3232,25,466,0.221801346801347,0.0980639730639731,0.68013468013468,56.5593434343434,25.0063131313131,173.434343434343
26,13019,3852,16350,275.259564297612,-76.4,23.6,26,26,4.84077355613431,51.2589345005689,1892,26,5251,26,1706,0.21380946999661,0.192790145779184,0.593400384224206,54.5214148491355,49.1614871736919,151.317097977173
27,11040,11095,33766,1142.59173278066,-67.1,32.9,27,27,4.51247684096054,51.2684046488209,3626,27,9770,27,6735,0.180120212607421,0.334558640902091,0.485321146490487,45.9306542148925,85.3124534300333,123.756892355074
28,72037,4215,14225,325.815101201263,-70.4,29.6,28,28,5.50907543326505,51.2600408037962,1985,28,1862,28,2021,0.338275391956374,0.344410361281527,0.3173142467621,86.2602249488753,87.8246421267894,80.9151329243354
29,13017,4751,18132,253.52356437353,-73.8,26.2,29,29,4.94873182816198,51.2472117357738,2214,29,5473,29,2025,0.227965403624382,0.208504942339374,0.563529654036244,58.1311779242175,53.1687602965404,143.700061779242
30,31006,3409,10844,121.134299164521,-68.6,31.4,30,30,3.33147054654238,51.2490054192922,1542,30,2968,30,1647,0.250446646093877,0.267500406041904,0.48205294786422,63.8638947539386,68.2126035406854,122.923501705376
31,43014,1253,6640,89.1272141048971,-81.1,18.9,31,31,3.58083180596714,51.2619530346084,847,31,1663,31,332,0.298029556650246,0.116819141449683,0.58515130190007,75.9975369458128,29.7888810696692,149.213581984518
32,11039,5330,19472,541.048753766495,-72.6,27.4,32,32,4.58464435855714,51.2566660560702,2208,32,4795,32,2662,0.228453181583032,0.275426797723745,0.496120020693223,58.255561303673,70.2338334195551,126.510605276772
33,31042,625,2760,56.4850356916866,-77.4,22.6,33,33,3.13305460269375,51.2522830698689,357,33,800,33,201,0.262886597938144,0.148011782032401,0.589101620029455,67.0360824742268,37.7430044182622,150.220913107511
34,11055,4942,21555,557.685451434148,-77.1,22.9,34,34,4.67366556833683,51.2588898525977,2340,34,6249,34,2234,0.216206227478518,0.206412270165389,0.577381502356094,55.1325880070221,52.6351288921741,147.232283100804
35,72025,3948,16686,390.062490647886,-76.3,23.7,35,35,5.46246702970041,51.2302368092887,1730,35,3961,35,1871,0.228775456228511,0.247421317111875,0.523803226659614,58.3377413382703,63.0924358635282,133.569822798202
36,46020,3724,18876,343.305688216598,-80.3,19.7,36,36,4.11760219025317,51.2315548092617,2073,36,5585,36,1390,0.229111405835544,0.153625110521662,0.617263483642794,58.4234084880637,39.1744031830239,157.402188328912
37,43002,3298,13942,159.840105781086,-76.3,23.7,37,37,3.71649005423966,51.227449552904,1706,37,3847,37,1403,0.245255894192064,0.201696377228292,0.553047728579643,62.5402530189764,51.4325761932145,141.027170787809
38,72020,11514,33409,326.340879180243,-65.5,34.5,38,38,5.30529913509531,51.2283598505448,6076,38,5691,38,4978,0.362854583457749,0.297282770976411,0.339862645565841,92.5279187817259,75.8071065989848,86.6649746192893
39,13006,3761,9231,341.506262742436,-59.3,40.7,39,39,5.13205105827499,51.2418817926881,1234,39,2358,39,2126,0.215809723679608,0.371808324589017,0.412381951731375,55.0314795383001,94.8111227701994,105.157397691501
40,43010,6827,23126,244.348330156625,-70.5,29.5,40,40,3.4511535865106,51.1997580170066,4223,40,5393,40,2223,0.356702424191232,0.187769237266661,0.455528338542107,90.9591181687643,47.8811555029986,116.159726328237
41,35002,2660,16496,1261.25011631164,-83.9,16.1,41,41,2.98183624417562,51.2404887597002,1407,41,5086,41,1076,0.185889813713833,0.142158805654644,0.671951380631523,47.4019024970273,36.2504954419342,171.347602061038
